product name
"Surgident GBR Screw ∅ 1.4mm (Pack of 5)"
"Surgident GBR Screws ∅ 1.6mm (Pack of 5)"
"Surgident GBR Screws - ∅ 2.0mm (Pack of 5)"
"Surgident GBR Bone Tacs (Pack of 5)"
"Rabbit CIA NiTi Intrusion Archwires Upper 016 X 022 (Pack Of 5)"
"Dentaltech 25° Angular Abutments - Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Morelli MBT 022 Max Brackets Kit 10.35.905"
"ET Dental Classic Denture Boxes (Pack of 1)"
"Sure Endo Paper Points - 2% #45-80"
"Sure Endo Paper Points - 2% #90-140"
"Sawbros Softflex Thermoforming Plastic Soft Sheet Square - 1.5mm (Pack Of 20)"
"Oro Dispensing Gun 1:10/1:4 (25ml)"
"Woodpecker Prophylaxis Powder - Super"
"AHL Amalgomer CR Ceramic Reinforced Posterior GI Restorative Material (Short Expiry 10-2027)"
"Jaypee Medical Essentials of Oral Pathology 5th Edition (ISBN - 61433)"
"Neoendo NeoPure Hydrophilic A-Silicone Putty Elastomeric Impression Material (Fast Set)"
"Dentaltech Locator Abutments - Dentium Superline Implant Compatible"
"Septodont Secure 5th Generation Bond (Short Expiry 11-2026)"
"Tokuyama Estelite Alpha Syringe Refill Shade A1 (Short Expiry 10-2026)"
"Samit Mouldable Trays 1 Pair - Large"
"Samit Mouldable Trays 1 Pair - Half"
"Samit Mouldable Trays 1 Pair - Medium"
"Samit Mouldable Trays 1 Pair - Small"
"Dentaltech Ball Abutments - Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Sure Endo Gutta Percha Length Marked - 2% #90-140"
"Sure Endo Gutta Percha Length Marked - 2% #80"
"Sure Endo Gutta Percha Length Marked - 2% #70"
"Sure Endo Gutta Percha Length Marked - 2% #60"
"Sure Endo Gutta Percha Length Marked - 2% #55"
"Sure Endo Gutta Percha Length Marked - 2% #50"
"Sure Endo Gutta Percha Length Marked - 2% #45-80"
"Sure Endo Gutta Percha Length Marked - 2% #45"
"Sure Endo Gutta Percha Length Marked - 2% #40"
"Sure Endo Gutta Percha Length Marked - 2% #35"
"Sure Endo Gutta Percha Length Marked - 2% #30"
"Sure Endo Gutta Percha Length Marked - 2% #25"
"Sure Endo Gutta Percha Length Marked - 2% #20"
"Sure Endo Gutta Percha Length Marked - 2% #15-40"
"Sure Endo Gutta Percha Length Marked - 2% #15"
"Sure Endo Gutta Percha Length Marked - 2% #10"
"Sure Endo Gutta Percha Length Marked - 2%"
"Dentaltech Multi Unit Straight Abutments Mini - Osstem | Dentium | DIO | Cowellmedi | Neobiotech | Dentis Compatible"
"Dentaltech Multi Unit 17° Angular Abutments - Nobel Biocare RP Implant Compatible"
"Dentaltech Multi Unit 30° Angular Abutments - Nobel Biocare NP Implant Compatible"
"Dentaltech Multi Unit 17° Angular Abutments - Nobel Biocare NP Implant Compatible"
"3M ESPE Express Xt Light Body (Short Expiry 11-2026)"
"3M ESPE Polyether Tray Adhesive (Short Expiry 11-2026)"
"Dentaltech Multi Unit Straight Abutments - Nobel Biocare RP Implant Compatible"
"Dentaltech Straight Abutments - Straumann NC Implant Compatible"
"Maarc Sealmax Gold MTA Filled Resin Based Root Canal Sealer (8031/002)"
"HN Dental Micro Opener - 20/04"
"HN Dental Micro Opener - 15/04"
"HN Dental Micro Opener - 10/04"
"HN Dental Micro-Openers"
"HMD Techno Cut Surgical Scalpel # 15C (Pack of 10)"
"3M Relyx U200 Mixing Disposable Tips Regular (10 Pcs)"
"Dentaltech Close Tray Impression Coping - Adin | Noris | MIS | AB Dental Implant Compatible"
"Ethicon Mersilk #0 Black Braided Suture2 - 76Cm (Nw5037P) Pack Of 1"
"Dentaltech Open Tray Impression Copings - Nobel Biocare Implant Compatible"
"Axiostat Dental Haemostatic Dressing - 1cm x 1cm (Pack Of 6)"
"Dental Disposable Face Mask 3 Ply Tie On ( Pack Of 100)"
"Dental Face Mask 3 Ply Tie On ( Pack Of 50)"
"Dentaltech Prosthetic Hex Drivers 1.25mm - Adin | Noris | MIS | AB Dental Implant Compatible"
"Dentaltech 15° Angular Abutments - Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Resmed Acucare F1-4 Vented Full Face Mask Medium Size"
"LD Denture Boxes With Inner Tray - Pink (Pack Of 1)"
"Stim Interdental Refill Tapered #3 (Pack Of 1)"
"Dentaltech Temporary Abutments- Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Stim Interdental Refill Fine #4 (Pack Of 1)"
"Stim Ortho Mb Brush (Pack Of 1)"
"Stim Ortho Mb Brush (Pack Of 6)"
"Dentaltech Straight Abutments - Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Stim Ortho Mb Brush"
"Stim Proxa Interdental Angular Tight Gap Size - 0 (Pack of 1)"
"Seil Global Flat Core Mixing Tip - 1:1 (Brown)"
"Dentaltech Healing Abutment RS - Adin | Noris | MIS | AB Dental Implant Compatible (Pack of 10)"
"Dentaltech Open Tray Impression Copings - Dentium Superline / Dio/ Megagen / Dentis/ CoWellMedi Implant Compatible"
"Oro Endo Micro Camera Set"
"Ivoclar Tetric N PowerFill 2 Composite Syringe - Shade IVW"
"Dentaltech OneGuide Metal Sleeve - Osstem Implant Compatible (Pack of 10)"
"Dentaltech Multi Unit Straight Abutments - Nobel Biocare NP Implant Compatible"
"Dentaltech 30° Angular Abutments - Nobel Biocare RP Implant Compatible"
"Dentaltech Temporary Abutment RS Anti-Rotational - Adin | Noris | MIS | AB Dental Implant Compatible"
"Indian Dental Flask with Clamp Combo - #9"
"Indian Dental Flask with Clamp Combo - #8"
"Dentaltech Disposable Transfer Coping Regular - Osstem | Dentium | DIO | Cowellmedi | Neobiotech | Dentis Implant Compatible (Pack of 10)"
"Durr Dental Orotol Plus Disinfectant Solution & MD 555 Cleaner Combo Pack"
"Dentaltech Healing Abutment Regular - Osstem | Dentium | DIO | Cowellmedi | Neobiotech | Dentis Implant Compatible (Pack of 10)"
"Dentaltech Disposable Transfer Coping - Adin | Noris | MIS | AB Dental Implant Compatible (Pack of 10)"
"Dentaltech Healing Abutment - Straumann NC Implant Compatible (Pack of 10)"
"Dentaltech Disposable Transfer Coping - Dentium Superline / DIO/ Megagen / Dentis/ CoWellMedi Implant Compatible (Pack of 10)"
"Julldent Anterior & Premolar Gracey Curette - SGCC 5/6"
"Dentaltech Healing Abutment - Straumann RC Implant Compatible (Pack of 10)"
"Penta Ortho Intraoral Elastics - Green 5/16-6.5 Oz"
"Maarc Articulating Paper – 40µ Microns #Blue-Red (5511/001/E)"
"Dentaltech Disposable Transfer Coping - Nobel Biocare RP Implant Compatible (Pack of 10)"
"Dentaltech Implant Lab Analogs - Nobel Biocare Implant Compatible (Pack Of 10)"
"Koden Bracket holder - Anterior"
"ET Dental Dental Storage Case (Utility Box)"
"Samit Carving Wax Blocks (Pack of 40)"
